,Activity_desc,Activity,logActivity
TfCut,285.58,285.58,2.4572
LCC_WT,500+,500,2.6998
LCC_ICCG,500+,500,2.6998
LCC_WCCG,500+,500,2.6998
IsPETase_WT,116.96,116.96,2.0717
IsPETase_DM,463.79,463.79,2.6673
PETcan401,1.61,1.61,0.4166
PETcan402,0,0,0.0000
PETcan403,1.74,1.74,0.4378
PETcan405,1.91,1.91,0.4639
PETcan406,1.49,1.49,0.3962
PETcan407,75.09,75.09,1.8813
PETcan409,9.82,9.82,1.0342
PETcan410,1.19,1.19,0.3404
PETcan412,2.24,2.24,0.5105
PETcan501,500+,500,2.6998
PETcan503,3.68,3.68,0.6702
PETcan504,305.53,305.53,2.4865
PETcan601,500+,500,2.6998
PETcan602,28.14,28.14,1.4645
PETcan604,0,0,0.0000
PETcan605,0,0,0.0000
PETcan606,66.91,66.91,1.8319
PETcan608,0,0,0.0000
PETcan610,0,0,0.0000
PETcan611,500+,500,2.6998
PETcan701,500+,500,2.6998
PETcan702,170.11,170.11,2.2333
PETcan703,500+,500,2.6998
PETcan704,500+,500,2.6998
PETcan705,500+,500,2.6998
PETcan706,500+,500,2.6998
PETcan707,2.54,2.54,0.5490
PETcan708,12.55,12.55,1.1319
PETcan709,0,0,0.0000
PETcan710,0,0,0.0000
PETcan711,13.55,13.55,1.1629
PETcan712,0,0,0.0000
PETcan713,0,0,0.0000
PETcan714,500+,500,2.6998
PETcan715,500+,500,2.6998
PETcan716,500+,500,2.6998
PETcan717,2.05,2.05,0.4843